quarter,town,flat_type,median_rent
2006-Q1,BUKIT BATOK,EXEC,-                        
2006-Q1,BUKIT MERAH,1-RM,na                       
2006-Q1,BUKIT MERAH,2-RM,-                        
2006-Q1,BUKIT MERAH,3-RM,900
2006-Q1,BUKIT MERAH,4-RM,-                        
2006-Q1,BUKIT MERAH,5-RM,-                        
2006-Q1,BUKIT MERAH,EXEC,na                       
2006-Q1,BUKIT PANJANG,1-RM,na                     
2006-Q1,BUKIT PANJANG,2-RM,na                     
2006-Q1,BUKIT PANJANG,3-RM,-                      
2006-Q1,BUKIT PANJANG,4-RM,-                      
2006-Q1,BUKIT PANJANG,5-RM,-                      
2006-Q1,BUKIT PANJANG,EXEC,-                      
2006-Q1,BUKIT TIMAH,1-RM,na                       
2006-Q1,BUKIT TIMAH,2-RM,na                       
2006-Q1,BUKIT TIMAH,3-RM,-                        
2006-Q1,BUKIT TIMAH,4-RM,-                        
2006-Q1,BUKIT TIMAH,5-RM,-                        
2006-Q1,BUKIT TIMAH,EXEC,-                        
2006-Q1,CENTRAL,1-RM,na                           
2006-Q1,CENTRAL,2-RM,-                            
2006-Q1,CENTRAL,3-RM,-                            
2006-Q1,CENTRAL,4-RM,-                            
2006-Q1,CENTRAL,5-RM,na                           
2006-Q1,CENTRAL,EXEC,na                           
2006-Q1,CHOA CHU KANG,1-RM,na                     
2006-Q1,CHOA CHU KANG,2-RM,na                     
2006-Q1,CHOA CHU KANG,3-RM,-                      
2006-Q1,CHOA CHU KANG,4-RM,850
2006-Q1,CHOA CHU KANG,5-RM,925
2006-Q1,CHOA CHU KANG,EXEC,-                      
2006-Q1,CLEMENTI,1-RM,na                          
2006-Q1,CLEMENTI,2-RM,na                          
2006-Q1,CLEMENTI,3-RM,850
2006-Q1,CLEMENTI,4-RM,1000
2006-Q1,CLEMENTI,5-RM,-                           
2006-Q1,CLEMENTI,EXEC,na                          
2006-Q1,GEYLANG,1-RM,na                           
2006-Q1,GEYLANG,2-RM,-                            
2006-Q1,GEYLANG,3-RM,800
2006-Q1,GEYLANG,4-RM,1100
2006-Q1,GEYLANG,5-RM,-                            
2006-Q1,GEYLANG,EXEC,-                            
2006-Q1,HOUGANG,1-RM,na                           
2006-Q1,HOUGANG,2-RM,na                           
2006-Q1,HOUGANG,3-RM,730
2006-Q1,HOUGANG,4-RM,900
2006-Q1,HOUGANG,5-RM,-                            
2006-Q1,HOUGANG,EXEC,-                            
2006-Q1,JURONG EAST,1-RM,na                       
2006-Q1,JURONG EAST,2-RM,na                       
2006-Q1,JURONG EAST,3-RM,750
2006-Q1,JURONG EAST,4-RM,-                        
2006-Q1,JURONG EAST,5-RM,-                        
